NAME_2,NewDist20,Lon,Lat,wsgd,gwad
Bahi,Bahi DC,35.47299183,-6.137046656,0.02005,3222
Buhigwe,Buhigwe DC,29.95392084,-4.462352985,0.04945,2814
Chamwino,Chamwino DC,35.84653632,-6.313534373,0.08765,3152
Chemba,Chemba DC,35.66756411,-5.26030425,0.2309,3085
Chunya,Chunya DC,33.13882985,-7.739476359,0.0012125,3240
Dodoma Urban,Dodoma Urban DC,35.79201651,-6.108055675,0.101175,3140
Igunga,Igunga DC,33.68871576,-4.346074207,0.08025,3148
Ikungi,Ikungi DC,34.51905448,-5.133717985,0.18055,3156
Ileje,Ileje DC,33.34362354,-9.418625383,0.184525,3229
Iramba,Iramba DC,34.28789939,-4.436024686,0.2167125,3081
Iringa Rural,Iringa Rural DC,35.19610689,-7.504127495,0,3277
Iringa Urban,Iringa Urban DC,35.70945587,-7.735825259,0.108775,3213
Kalambo,Kalambo DC,31.57282212,-8.526154534,0,3363
Kaliua,Kaliua DC,31.73316972,-4.95608582,0,3264
Kasulu,Kasulu DC,30.42393594,-4.506712065,0.2343625,3123
Kasulu Township Authority,Kasulu Township Authority DC,30.09507976,-4.589331438,0.0478625,3184
Kibondo,Kibondo DC,30.98018014,-4.157072146,0.1670875,3211
Kigoma Rural,Kigoma Rural DC,29.74248341,-4.72161478,0,3199
Kigoma Urban,Kigoma Urban DC,29.66655692,-4.894064716,0.001825,3258
Kilolo,Kilolo DC,36.21491528,-7.801328409,0.101975,3199
Kilombero,Kilombero DC,36.55909637,-8.401167234,0.102775,3189
Kilwa,Kilwa DC,39.02425466,-9.105683496,0.3266875,3133
Kondoa,Kondoa DC,35.90002727,-4.744014722,0.0533625,3202
Kongwa,Kongwa DC,36.54703715,-6.017000887,0.167,3203
Kyela,Kyela DC,33.8695329,-9.53353315,0.1994375,3126
Lake Rukwa,Lake Rukwa DC,31.83961628,-7.579546352,0.0772625,3313
Lake Tanganyika,Lake Tanganyika DC,30.69277044,-7.766463331,0.0569375,3287
Lindi Rural,Lindi Rural DC,39.46568662,-10.03506212,0.3076375,3119
Lindi Urban,Lindi Urban DC,39.63457338,-9.961887111,0.3678,3105
Liwale,Liwale DC,37.87448718,-9.336505987,0.234675,3170
Ludewa,Ludewa DC,34.76432923,-10.01498595,0.0825125,3207
Mafinga Township Authority,Mafinga Township Authority DC,35.24521522,-8.365607691,0.3416375,3150
Makambako Township Authority,Makambako Township Authority DC,34.9479703,-8.903632205,0.1512625,3178
Makete,Makete DC,34.14718362,-9.225376457,0.1876375,3160
Manyoni,Manyoni DC,34.45213147,-6.413295379,0.0415375,3243
Masasi,Masasi DC,38.89814256,-10.80497591,0.2211125,3182
Masasi Township Authority,Masasi Township Authority DC,38.85820233,-10.73411292,0.0493125,3193
Mbarali,Mbarali DC,34.23418963,-8.29340696,0.0875625,3232
Mbeya Rural,Mbeya Rural DC,33.40580213,-8.932284683,0.1857,3217
Mbeya Urban,Mbeya Urban DC,33.47813659,-8.899758656,0.431125,2984
Mbinga,Mbinga DC,34.98956572,-10.77547892,0.1695875,3192
Mbozi,Mbozi DC,32.90683992,-8.957195623,0.07025,3226
Mkalama,Mkalama DC,34.7163348,-4.202297023,0.0335625,3191
Mlele,Mlele DC,31.7761198,-6.639924216,0,3235
Momba,Momba DC,32.42406138,-8.824128314,0.00875,3283
Mpanda,Mpanda DC,30.60089186,-5.944822639,0.0067625,3215
Mpanda Urban,Mpanda Urban DC,30.99084663,-6.412369904,0.0041875,3203
Mpwapwa,Mpwapwa DC,36.33401016,-6.762670795,0.160225,3144
Mtwara Rural,Mtwara Rural DC,40.0112485,-10.48638378,0.230425,3154
Mtwara Urban,Mtwara Urban DC,40.15511672,-10.31653175,0.1916,3193
Mufindi,Mufindi DC,35.27083109,-8.501882503,0.1439875,3192
Nachingwea,Nachingwea DC,38.3637674,-10.38234469,0.300075,3169
Namtumbo,Namtumbo DC,36.31820842,-10.6428961,0.20415,3170
